comments	hate
엄마부대 청년단체	0
악마의 재능 신정환이 들어가면 좋겠다.	0
저런 배달음식점에서 곱창을 직접 씻기는 하나?	0
남친보다 재미없나 시쳥률이 7%대 주말편성까지 좋은데 얘네는 남친 머리채 안잡으면 안되던데 아직까지 결과는 남친이군	0
왕지혜 34살이지만 외모는 인정한다.여자라면 이정도는 되야지	0
사쿠라가 예쁘기만 한게 아니고 똑똑하기까지하네... 같이 있음 본인이 더 독보인다 이거지 ㄷㄷ	0
마틴 프리먼 널 사랑해ㅠㅠㅠㅠㅠㅠ 아 애기보다 귀여워	0
헐	0
게이는 무슨 일하노	1
돈 좀 빨아먹으려고	0
볼만했습니다 ㅋㅋㅋㅋ	0
이영화너무나도재미가있어요...^_^ 히노키오.사토루화이팅~!화이팅	0
한혜진도 존.못이었는데 얘도 비슷하네. 그래도 얘는 머리라도 똑똑하니깐머	1
재미있어요ㅎㅎ좋네요ㅎㅎ아주아주	0
대견 하긴 한데 젊음이 아깝다 이쁠때 꾸미고 즐기다 나이들어서 해도 되는데 얼굴 손 다 망가지고뭔가 비효율적으로 보이는	1
말투뷰터 아주 달달혀	0
사람을 얼굴로 평ㄱ	0
댓글 성비랑 나이대보면 소름이 돋는다. 30~40대 아지매들 밥쳐먹고 할일없어 연예인한테 악플다는게 취미인가 보네.	1
볶음김치에. 삶은두부 ㄱㅆㅆㅌㅌㅌㅌㅊ	0
앨리슨 해니건 너무 사랑스럽다.... 홀리 포테이토! ㅋㅋㅋㅋ	0
근데 그 요구권이 법개정으로인해 경찰들이 맘먹고 뻗대면 안먹히는게 문제다.  완전  검찰과 경찰의 수직관계가  이번 검경수사권조정 통과로 인해서  패러다임이 바뀌어버림.  시발 검사들  윤석열 욕 엄청많이하겠는데?	1
저거 포스팅하는 사람이 소개할꺼 넣을꺼 없어서 잡아 넣은거지 뭔 국가기관드립이야.	0
개독 일베 핑크탕 신천지가 싫어할 내용이네여	1
현실은 성형한 여자는 차은우는 커녕 김제동도 싫어합니다	1
너무나도 감동적이고 좋은 영화네요~!	0
개새들이여	1
장도연편은 솔직히 별로 재미없었음. 손담비편이 재밌더라	1
우리나라교회는 악마들이모여 주뎅이 처벌리고 	1
2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!	1
준영과 영재가 어떻게 다시 만나게 될지 그 과정도 궁금해요. 드라마는 드라마로 봅시다. 너무 현실적인것도 그렇잖아요. 재미로 보는건뎅.	0
시신처리 비용은 유가족 몫으로 하고요. 강력 범죄자 새끼들 인권 같은 좆같은 소리 하지 말고. 집행 합시다.	1
젤 바보 같은 프라이드팬들의 착각임4점 니 혹은 스템핑은 둘 다 상위에서 아래로 공격하는거고당연히 둘 모두 상위포지션 점령율이 높은 레슬러에게 유리한 규정임	0
난 왜 이렇게 사람을 죽여가는 드라마를쓰는지눈물도 안 나오고 헛웃음만 시간아깝다김소연 최명길연기만 보려고 했는데 오늘로땡	0
처녀 구별법이나 특징 부탁해	1
남송 참지말자	0
여주 두명다 너무 예쁘고, 아만다 사이프리드도 귀엽고 멍청하게나오네요정말 재밌게 봤습니다.	0
난 재미교포 크리스리 그년은 진짜 느끼면서 하는년임	1
아진짜 방탄이 한번 사과비슷한거 해주니까 지라를 하고있네.더 해봐.진짜 일본 곧 망하려나보다~	1
우리가 평소에 일반적인 질환들은 건강보험이 어느정도 다 커버를 해주기때문에	0
반민정 꽃뱀으로 몰고갔던 남자들 진짜.. OOO들 왜 항상 피해자가 자신의 피해를 주장할 때 상처를 두번 세번 받아야 하는 건지,	1
와 씨 비위좋네ㅋ	1
댓글 천사들만있네내가 보기엔 카메라돌아가는 연출인듯엄마가 없는친구딸 이제서야 ??카메라 도니깐....내가 너무 부정적인가	1
조사하겠지, 그만 기사화해라.	0
리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데	1
요즘애들 너무커서 190은넘어야 돋보이던데	0
돈써가며 또 보빨짓하겠지ㅋㅋ 요새 그런년 많다 받을거받고 섹스나할라고 만남. 그돈 지딸한테나 쓰지 ㅉㅉ	1
오지게 하나보네 ㅋ	1
ㄸㄷㄸㄷ	0
C. 토마스 하우웰이 석양 밑에서 로버트 프로스트의 시를 읊을때 정말 감동적..	0
나 지급이것보고있다 9876543210	0
박민영 너무 삭았네	1
돈 엄청 벌었죠. 대기업만 다니던 사람임	0
지코가 석자...ㅎ	1
꿀꿀꾸룩루꿀꿀	0
메갈들은 꿈도 꾸지 못할 일이 일어났네.	1
멋진 창과 그에 잘 어울리는 스토리 전개와 각 배우들의 연기 모두 정말 훌륭했어요.	0
여군이 간부만 있어서 그럴 수도 있을 것 같습니다.	0
그 임신만 줄기차게하는 개념없는 한뇬때문에	1
다른거 다 떠나서 노래가 별로던데 ㅋ아줌씨들은 좋던가? ㅋㅋ	1
강대니엘+박지훈+웅성우특히 강대니엘. 전국민이이미알고있다	1
저기가 일베라치면 여긴?대깨문과 조선족 밭인가?솔직히 틀린말도 안했자나	1
모순을 극복하는것이 페미니즘이다	0
유튜브 활력소TV가 신성일 선생님을 비방하는 영상을 퍼뜨렸음. 이 악플러 고소 당했으면.	0
7등급이면 공부할 머리도 의지도 없는 좀비들이야.	1
라디오스타 대본 리딩도안하고 올정도니까 돈에환장해서 너무 상업적으로만 일을하는게 보였었음 그래서 어느순간부터 비호감이었음라디오스타 짤릴꺼같다고 생각했음	1
시티 오브 갓, 아모레스 페로스 ... 좋다.	0
누군지도 모르지만 옛다 관심 !	0
난 이상하게 김영희만 보면 짠해요	0
이넘은 뭐 매번 인터뷰마다 돈돈 거리네 ~ 양희은언니 좀 본받아라 ~ 다들 먹고살게 힘든데 돈도 많이 버는것들이 방송나와서 자꾸 돈돈 거리는거 일반인들 힘빠지게 만든다고 ㅉㅉㅉ	1
멋있기만 하구만.이러다 헤어지면 헤어지는거지뭐.연예할때 맘껏 즐기는거 보기 좋은데.내숭보단 훨씬 낫다.화이팅!!	0
MBC? ㅁㅈㅎ	0
문재인은 조작사기단 sm과 방송고위간부및 제작진,언론과의 유착비리 조사하고 구속해라! 국정농단 비리키우는 문재인 탄핵하자!	1
애기 너무 안쓰럽고 불쌍하다..ㅠㅠ..부디 부모없다고 기죽지말고 잘크렴..ㅠㅠ	0
그 차가운 적막과 도도한 고요함이 좋다	0
"알겠다이기ㅋㅋ 딱 채찍쳐맞는거 좋아하는 한국식 마인드네. 노예마인드.  조금만 성공한 사람이 뭐라하면 똥오줌 못가리고 찬양하기 바쁘노.  씨발 유명해지면 똥을싸도 박수를 쳐준다던데 정말이구나...ㅎ 손주은 영상 다시 한번 더 보길바란다. ㅂㅅ같은 개똥철학이나 읊어대면서 어린십대들한테 창녀운운하는게 좋게보이는지.. 그리고 그영상보면 학생 뺨싸대기 때리는것도 나옴. 편집해서 영상은 안나오고 소리만 나오는부분..  그런것들은 현실능욕이라고 단순히 치부할 것들이 아님.  인간 쓰레기들이나 할법한 말이고 행동이지.  손돼지새끼 인성은 예전부터 유명했음.  어린애들 상대로도 감정조절 못해서 싸대기때리는건 예사고, 잠깐 꿈뻑 조는 학생한테 ""넌 삼수나 해, 이새끼야!""  라는 식의 폭언도 일삼았었음.  강사는 수업 가르치는거나 잘가르치면 될것이지, 언어적으로든 신체적으로 폭력을 일삼는다면 그건 인간쓰레기지.  미국이었으면 깜빵갔을일이다."	1
다 아티스트인 척 연기하는겨 6개월 작업하고 6주 활동하고 6년 먹고 사는데 오지랖이든 뭐든 그만해	1
부동산 업자의 알았을거다.이 한마디에 대성 평생 이룬 커리어를 무너트릴려고? 생각좀 해라ㅡㅡ 사실관계좀 확인하고...	1
남양주병. 힘내자	0
근데 수사권이 넘어가면  어떤 이유때문에 국민만 힘들어지노 ??? 이야기좀 ~~	0
이건뭐ㅋ거전 복귀프로그램 다됫네 잊혀진애들 불러서 눈물로 이슈만들고 시들해지면 또 복귀할사람 부르고 불타는청춘이 아니라 불타는복귀가 낫것다ㅉ	0
이제 그만ㅜㅜ 기사너무많이나요	0
다시보니 유치한듯 하지만,,,, 순수한 가슴찡한 또다른 매역이 있네요...	0
오창석 커플 잼있음^^♡	0
윤서인이 눈치 안보고 당당하게 개념 발언한거지	0
1960년대에 이렇게 영화를 인간의 내면을 잘 끌어내다니 영상도 좋고 감동입니다. (p.s끝장면 네이버에 나온내용은 약간 다릅니다. )	0
누가 죽음?	0
서울대가기가 더힘든건 사실이지.	0
솔직지 폐미 종나 묻었네	1
억지같긴 뭐가 억지야... 그 수많은 사람들이 억지로 좋아한단 말이냐? ㅋㅋㅋㅋ 말이되는 소리를 해야지	0
막돼먹은영애씨 진짜 판박이!	0
게이야 나랑 상황이 비슷하노 나도 개 좇같은놈 땜에 미치겠다 어쩌겠노 인생 길게 보면 이 순간도 곧 지나가겠지하고 맘 잡으면 또 씨발 좇같은새끼 죽이고 싶고 매일 반복이다 근데 별것도 아닌 병신땜에 내 중심이 흐트러지면 쪽팔리자나. 힘내자 소중한 가족이 한새끼땜에 분위기가 안좋으면 되겠노 항상 니가 젤 위다.	1
아직도 방독면 앉아쏴에서 내가 옆사로 후임의 표적을 맞춰 넘겼을때 좋아하던 우리중대 간부님을 잊지못하고 그 짜릿함을 잊을수 없다 . 	0
작가는 현실성 제로인듯..후덜덜 ..재결합? 결혼생활중 다른 여자 몸과 마음을 주물렀던 전남편과? 소오름...	1
저 강사도 어떻게 보면 예쁜데어떻게 보면 맹해보이고	0
과목만 보면 그렇지 근데 수학은 상대평가잖아? 절대평가로 바뀌면 상관없지 ㅋㅋ	0
내용 굳 감동 굳. 김수로가 맡은 역이 매우 잘 어울렸으며 그 연기력 또한 단연 돋보였다.	0
땅콩  사무장양반   중간에   낑기게  한게  더얄미움	1
니들이 아무리 비하해봤자 존나 잘나가고 있다 정치색은 나도 맘에 안드는데 좆밥들처럼 억지로 깎아내리진말자	1
"리더의 말은 그럼 ""박쥐도 없는데 코로나 그거 잡기 힘들답니꽈? ""이래야되나 보지?"	0
모질라서 그런거 시청자들 다 알지않나ㅋ 저런순수한남자랑 박나래랑 잘어울림	1
복귀해야되는데 집이없어서 걍 자살함	1
이수근 안보고 싶다	0
얘 아직도 쿨한척 멋진척 하냐?그래봣자 이수경한테 열등감느껴서 방송에서 온갖 히스테리 부리며 비꼬는 그 인성이 진짜인거 누가 모를까	1
일게이들이 제일 좋아하는 소재	1
이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥	0
정답은 강간	0
에인절스 팬들의 바이블급 영화	0
고종이면 모를까 지랄을 한다	1
분유먹이는것도 가슴 미워지던데.굳이 힘들게 하는건 .	1
여기 댓글들 왜이래;; 이상한 사람들 몰려와서 댓글다네	1
우병우 짱..완전 존경합니다~^^	0
고현정 저러니까 이혼 당하지 ㅉㅉㅉ	1
쌈박하노? 그것보다..조선족 가게에 붙혀두고. 사진찍어서 중국사이트에 게재하는것이 더 좋을것 같다	0
이필모 얼굴이 왠지 슬프 보인다. 서수연은 얼굴이 편해보인다. 결혼은 남자의 무덤인가? 두분 행복하세요~	1
아름다운 영상과 슬픈음악 모든것이 좋았던 영화.	0
호랑나비도 이렇게 가는구나.....ㅋㅋ	1
이랬는데 범인 강하늘	0
본인은 건강하다 하겠지~기초체력 테스트 한번 해볼까?근육량 미달에,저체중에,저혈압에,팔굽혀펴기 1개는 제대로 합니까?	1
그저 아름다운 사랑이야기로 보인다 한국의 아름다움 그 속의 사람이야기	0
밍하니깐  좆성이  존나게 투자 하는거지 증설 증축하고?https://m.post.naver.com/viewer/postView.nhn?volumeNo=27068083&memberNo=11919328&vType=VERTICAL	1
좌파득세하겠네	0
솔직히 집에서 고기 구우면 좆같은건 사실임 집이 존나 넓르면 모르겠는데.. 암튼 뒷정리하기 개좆같음	1
복근운동 자주하고 따듯한 물 따듯한 음식 먹고 기름진거 가급적피하고	0
흠..둘이 사귀고부터 잼없는듯.. 그치????	0
그냥 기사내용 보기싫은데 가희씨는 참이쁘네요 얼굴만요	1
방송이래도 남의 딸을 만지는건 좀...	1
최고의 드라마 액션 영화다! 조셉 루벤 감독의 점수 높은 역작임!	0
솔직히 지금 베드신 찍어도 예쁘실듯	1
고쿠센2 도 너무재밌다.	0
이영상 보셈 https://youtu.be/Kph0zraXQ14	0
사랑스러운 오드리! 이런분위기 너무 좋습니다	0
이효리 최고♥♥♥♥♥	0
ㅜㅜ모두모두좋아죽겟구려	0
마음고생 심했을텐데 무사히 잘 마쳤네요~여기 않좋은 말들이 많지만 조용히 응원하는 사람도 있답니다 잘쉬시고 다시 좋은 연기로 만나요 화이팅	0
그만 부들거려 노가다새끼들아	1
진중권은 사랑입니다.	0
치료방법 꽤 신선했고 에단호크 뱀파이어 존멋	0
이쁘니 아만다 사이프리드 때문에 한표 ㅋ	0
그냥 돈 더보태서 보잉747 사자	0
1.11 시사회보고나서:)	0
쟤네들이 피를 나눈 형제도 아니고 그렇다고 절친도 아니고 고작해야 사회로 치면 직장동료일뿐인데 그렇게 슬퍼하겠냐?냉정하게 생각해봐	1
아빠 닮았네	0
지옥의 특전대(007로저무어주연)와 더불어 양대 전쟁감동영화의 극치!!	0
강용석도 찌질하네 과거들추기는 추하다	1
여전히 이쁘시구만	0
1년 이면 마누라랑 별로 안하고 싶음 ;;	0
제정신아니네 고딩과과계한것도웃기지만 성인이피임도안하나 애는 남자한테줘버리고결혼은하지말았어야지	1
댓글에 전라도 사투리...진짜 웃긴다... 사투리가 송가인 말투로 읽혀서~~~	1
로멘스 영화 정말 좋네요 정말 사랑에 외모는 상관없네요 정말 좋은 남자인것 같아요 정말 너무 아름다운 영화네요	0
박보검은 평범한 기독교신자입니다 제발 그만 괴롭히고 이초석 목사님도 항상 응원합니다^^	1
설마 협찬?	1
미리 섭외 하는거 아니냐???	0
잔잔하고 좋음 극중요코는 성격이 고양이와 흡사한 점이 상당히 많네요ㅎㅎ	0
예상 ㅈㅎ 병신아	1
결혼까지 생각했어 같은집 같은방에서 슬퍼도 bye bye bye~~~~#	1
Jesus, Oh Jesus!!	0
푸핫! 누군지는 모르지만 기사 제목이 참 어이없어서 댓글 단다. 사귀었다가 헤어지면 다 좋은 선후배로 남는데.... 이게 말이 돼? 그리고 더구나 파혼인데! 선후배... 그냥 각자 길 가기로 했다고 쓰셔~~	1
destiny destiny	0
옛낼에 봤는데 정말 정말 재미있었어요~♡	0
류덕환님, 진심으로 존경합니다.	0
블루컬러 직업에 대한 인식이 아직도 이러니 ㅉㅉ	1
2D여고생 젖탱이가 더 꼴림	1
솔버지가 정이 많아ㅠ	0
나래충 극혐이네. 댓글 성비봐라 ㅋㅋㅋ 무겁다 무거워	1
데릴사위에 가깝다...	0
유이 다이스키♥♥♥♥	0
그렇다고 공부 못하는 년은 용접이나 해라 라고 말 할 정도로 비하받아야 할 이유도 없지	1
우리개는 안물어요 ㅎㅎ	0
진짜 어제보고왔는데 거짓말 하나안보태고 노잼이더라 요즘 영화가 정말 없긴 한가보구나 하고 느낌	0
안궁금하면 들어오지를말지 자기들이 궁금하고 관심많아서 들어와놓곤 악플다네 그냥 지나가면 될것을 그냥 부럽다고 해	1
어제 직원식당에서 쏘세지 배식 담당인 씬이 존나 웃겼는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
미안하다게이야 심적으로는 내가 너보다 수십배는 힘들다 진심이다게이야	1
역시 한국인은 남 잘되는 꼴을 못 봐	1
예고편도 안보여주고 ㅠㅠ 어케 일주일을 기다리나	0
말그대로 푸른 봄(청춘)같은 유쾌한 영화	0
너무하노	0
내가 말하는건 그냥 조금 짜증나는 마음으로 전화해서 환불요구나 다른요구도 없이 음식물을 쓰레기봉지에 버리는 사진까지 올리는 상황을 말하는거임	0
반성안해도됑 걍 평생감옥에서 살아 너무 가증스럽다	1
더 손타기전에 잘간듯 더 타봐야 뭐 즐기기밖에 더하겟너	1
결혼했었구나 ㅋㅋ 빌푸사미빌레 보고싶다.. 득남한 기념으로 핀란드친구 한국와요 ~~	0
해머가 존나쎄고 나머진 쓰레기	1
오랜만에 동심도 느끼고,,이웃들간의 단합도 느껴지고~스토리가 더 탄탄했다면 좋았지 않았을까요?윤시윤, 여진구 외 많이 봐오던 중년배우들이 나와 더 좋았네요~~~	0
휴게소, 마트 등의 여성전용주차장 보고 분노를 해야지	0
어릴때재밋게봣는데다시봐도재밋네요~!	0
좋은 시도의 영화입니다.	0
최고의 영화. dldkejdooljsdflkaef	0
너무 멋있고 한장면도 버릴것 없는 영화 샘 라일리의 완벽한 이안 커티스 빙의가 소름돋을정도였다 안톤 코르빈 감독님이 최근 데인드한 주연의 제임스 딘 전기영화도 찍으셨다는데 너무 기대된다	0
종민이가 한참 부족해보이는데 ㅋㅋ	1
돈 필요하니? 참 부끄럽겠다 쪽 팔리고ㅋ	1
졸귀꿀기허니귀우리오빠들짱♥	0
꼴뵈기 싫은 인간. 극비호감	1
독전에서 김주혁은 정말 연기 잘하던데..축하드립니다 ㅠㅠ	0
그리스도인이 쉽게 이해하고 볼수있는영화 같네요‥예수님 감사합니다 사랑합니다♥	0
Doctor Who is one of the greatest drama ever broadcasted	0
개좆평타치	1
퇴출되면 메인보컬이없어지는데 ㅜ	0
역시 힐링영화. 겨울편 끝나고 크레딧 나와서 끝난줄 알고 나갈뻔했어요 ㅋ 뒤이어 봄편이 시작합디다...	0
참잘생겼는데 안뜨니배우	0
이름을 너무 대충 지었다... 개이름을 저렇게 짓는데..	1
너무 감동적이었고 그당시에 영상미가 좋았던 드라마.	0
발손무릎만 멍이 왜 생기냐ㅋㅋ 두들겨 패면 얼굴하고 배에 멍 생기지ㅋㅋㅋㅋ	1
지금보면 더 딱 들어맞는다*	0
아 오늘 다스뵈이다 기대되네요 ㅋㅋㅋ	0
서두가 다소 길지만 맛깔나는 영상, 중후한 매력의 스탤론.	0
참 불운했던거지요 그대 탓도 다른 사람 탓도 아니네요 그냥 상황이 그리 만들었네요 다만 잘못된 선택을 한 이들이 안따깝습니다 정선희씨는 힘내서 잘 살아주세요!	0
허우 샤오시엔 작품은 모두 만점!	0
미모는 깔 수 없다	0
그 새끼 호모 게이임	1
오죽하면 공개적으로 아내랑 도와달라고 글 썼겠냐 개인sns에 지인들한테 도움요청할수도있지 뭐 모금프로그램나왔냐 하루아침에 전신마비된 사람한테 악플달고싶냐	1
진짜재수없네 카악 퉤	1
요즘개념말아처먹은년들이많아서 여자한테 해주면 젊은자지한테 홀려서 집팔아먹을것같아서 못해주겠음 의외로 미친년들 진짜많다	1
강철비가 100%라면 신과함께는 85%정도 재밌었다. 이거는 어떠냐	0
내꺼 넘보지마	0
반박해주고 싶은데 0렙이라 분탕 가능성 높네 앤 한국당 의원 구성원 보고와라 ㅂㅅ아	1
유포자 처벌안하냐???	1
부럽네여 서로각자의지리에서열심히살고 아이들 잘보고 부럽디	0
어쩐지 1위부터 와꾸가 빻고 나머지들 와꾸가 개빻았길래 이게 아이돌이야 싶었는데 이유가 있었군.근데 3랑 4는 투표수까지 조작이라 실질범죄지만1이나 2도 카메라분량이나 캐릭터 잡아주거나 이런것들 청탁 있었을 거 같은데.	1
그딴 소리하는 거보니 예과충인가보네	1
흥미진진한 ㅋㅋㅋ	0
망할 조합에 망할 시나리오..	1
때려죽여도 기러기짓은 하지 말아라 여편내들 외국나가면 100% 코쟁이들과 바람남 그거 모르고 니들은 뼈빠지게 돈벌어서 기러기짓하면서 돈 보내주고있지	1
딸아 엄마 걱정시키 좀 마라..에휴	0
어쩌면 도찐개찐이지만 이다해가 승리아닌 승리네 ㅎㅎ	0
중기야,,, 왜 히필 늙다리한테 물려서,,, ㅠㅠ	1
그래도 안된다. 너희가 뿌린 것은 너희가 거둬라.	0
어우 난 남잔데..저리 마른여자는 좀 징그럽더라 살좀있는여자가 건강미있어보이고 좋음	1
특별한 감수성. 새로운 느낌	0
노래완전좋다 broken arrow	0
턴 앤 턴 앤 턴 ㅋㅋ 솔직하네 영화가	0
재밌었어요 존 크라볼타 역시 멋지구, 근데 인물이름 많긴하대요,마지막반전!ㅋ	0
진짜 어마어마한 여운을 주는 멜로 영화에요.ㅎ	0
나이 먹으면서 점점 사악해 지는듯	1
남자 주인공이 이정재였으면 어땠을까...	0
웬만하면 적은 안만드는게 좋다	0
굿굿 장난아님에이미아담스ㅜㅜ	0
수통 뚜껑에다 박아! 오른 발 들고!!!	0
보호자이란 새로나온 소재영화가 새로 나왔고 스릴도 넘치고 아이를 유괴하게되는 그런 보호자 영화가 생각이납니다 대박나십시오	0
나는 먹어도 결핍으로 뜨던데	0
난 여자가 매우싫다 뭐 이런걸로	1
저 윤총경 노무현때 사람이라며? 좌파들 처음에는 신나서 승리 물어뜯더니 까보니 자기쪽 사람들 ㅋㅋㅋㅋ	1
오히려 신해식을 내쫒고 대화를 거부하더라	0
고승우 변호사 외모만큼이나 훈훈하고 성숙한 태도네요 멋집니다!!!	0
속으로 버닝썬,김학의 등등 잊고 자기한테 이목집중한 국민들 보면서 역시 개돼지들 이러고 있는거 같은데?	1
키즈나아이 ㅋㅋ	0
내가 전소민처럼 머리 자르면 진짜 여즉도로 가야것지?	0
아무것도 아닌것처럼 씨부리면서명의 이전에 목숨거는게 간악해보이는데? ㅋ그게 아무것도 아니면 지년 애비 집 지분 일부 남자에게 명의 이전 좀'시원하게' 해주지 그러노 교활한 한국년들	1
그럼 전기 발전할땐 이산화탄소 안나오냐?연구마다 다르기는 하지만, 비슷하거나 화력발전이 좀 더 적게 나오긴 한다던데결국 원자력으로 가야 큰 차이 남	0
군대 안간 발치몽 도와준 인성 확인 응 손절	1
연기연습좀해 맨날남자만나느라 발연기하냐 아이유한테가서좀배워	1
유이는 괜찮아 마스크도 괜찮고 애도 참하고 사극은 내 아이디어였는데 좀 묻히긴 했지만 ㅋㅋ 현대물에서는 잘하네 기럭지도 좋고 한국 홍보용으로 아주 좋아	0
물론 최근 몇년간 좌파정부가 각종 사다리들을 걷어차고 있는건 맞지만, 	0
구혜선!!응원한다 쉽게변심한 안재현 어떤식으로든 죗값받기를 바란다 한여배우(여자)인생 망친놈이다	1
옛날에 게임하다가 알게된년이랑 만났는데 뚱녀였다 하루 먹고 연락 차단 했는데 자괴감 씹오진다 꼬추자르고 싶을정도로	1
나름 재밌었는데,,ㅋㅋㅋㅋ	0
장윤정 남동생이 축구했으니 너도 축구선수할꺼야.	1
오늘 농구는 센터 해야지	0
권보아연기짱짱잘한디@계속햇음조케써어~:)	0
이런 느낌 좋은데 ㅋ~	0
정말 재미있는 영화. 영화사에 손꼽히는 캐릭터, 존 맥클레인~액션,스릴러,드라마,코믹등 모든 장르가 이렇게 잘 어울어질 순 없다.	0
나름 재밌었습니다. 이성재씨 김현주씨 그리고 김창완씨까지 재밌네요	0
97년생인데 안다 ㅈ꿀잼 이였는데	0
딸이랑 피부랑 직빵으로 연결되있다	1
쑤레기들	1
9임	0
저 정말 멋진영화 정말 멋진 분이세요.. 완젼~! 좋아요..	0
love this drama with Rain in it and krystal and chr are good	0
굿잼꿀잼개잼존잼><><	0
이게 유명한사기냐 별 거지같은놈들도 다있노50만원짜리 벽돌이노	1
타츠야오빠 I love타츠야~류야옵빠 따랑해유~	0
뜻은 심오하나 병맛보다는 유치해서 ㅎㅎㅎ 보기가 힘들긴 함	1
simon fegg; 사이먼 페그(니콜라스 엔젤) 는미국영화에서는 조연이지만 자기나라 영국에서는 주인공으로 나왔네, 연기력 너무 훌륭하고, 대사전달력도 너무 좋다, 귀여워	0
돈많은건 인정하지만 키라도 크던지? 김건모와 그어머니는 눈좀낮추셔야 장가갑니다	1
나름재미있음 하나코놀올자	0
초반엔 웅엥웅이 젤 맘에 들었는데 살쪄서 그런지 요즘 극혐임	1
40 50대도 찐따엿던거 티나냐 ?	1
아 갑자기 내용 왜 이럼????	0
많은 것들을 느낄 수 있는 영화.	0
부부도 오랄 안하는데 첨 만난 사람이 요구하니 깜놀이지 미친	1
흐미 이게 얼마야	0
이번에 현대차 cvvd 엔진 열효율 40프로 잡았다더라대단한 결과물임	0
이야~ 내가 그중 1명이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
어제 일요명화로 해줬는데 무지재밌네요 ㅎㅎ 액션감도 ↑스토리 만족ㅎ	0
ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
연애인들의 필수 아이템 공황장애 ㅋㅋ	1
재국의 아이돌?? 이런듣보 그룹도있었나?? 방탄보다 인기없음 관심업슴 케케	1
최고의 반전영화.~ 마지막 팀로빈스가 bomb~이라고 할 때 그 전율은 잊을 수가 없네요	0
영화 참 좋네요.... 호아킨피닉스 ,, 마크 러팔로 아 최고네요	0
잘하는군요 잘해요.	0
그럼 수능도주작이고 공무원도주작이면 대체뭘하냐ㅋㅋ	0
코는 성형한 거지?	0
시집 못가는 여자들 어지간히 부러운갑다	1
다솜씨 다음엔..산에백숙먹으러 '아빠'랑 가지말구 '오빠'랑가요~난 다솜이좋드라~ㅋㅋㅋ ㅋㅋ그리고 개예쁨♡♡♡	0
보고팠습니다.	0
그리고 몇 년 후 민좆당 노동자 대표 청년 비례대표로 등장 테크트리 ㅋ	1
설마 그러겠냐.. 비슷한나이대의 동명이인들 찾아봤다.	0
프듀1 출신중 성공한건 역시 청하가 갓.. 그 다음은 전소연 김세정 정채연 이서정	0
어쨌든 안재현이 불쌍할건없음 구혜선저렇게만든건 안재현이야	1
자기 목을 자기 손으로 칼로 썰어내는 판국인데 오천만 개돼지들은 뭘 모르는 거냐?	1
It's Lawrence, anyways. 10점.	0
너무너무너무너무너무 재밌음	0
성매매가 구속인가? 아닌걸로 아는데 벌금아니였나	0
정선희씨랑 김영철씨랑 입담프로 하나했으면 좋겠어여~ㅋㅋㅋ진솔하면서 위트있어서 재미있게 봤네요^^	0
탁재훈 응원하고 있으니 힘내고 열심히 살면 좋은 날 올꺼예요! 파이팅 입니다.	0
준영재 가자..	0
일단은 전라도 	0
아이유 6년째 소니 오디오모델하는데 욕한줄이없네 ㅋㅋ	0
임진때 식인기록이 있다는데 625때도 있었음?	0
유명한 곱창집 알바해봤는데 진짜 손질 존나 힘들다 곱창은 인건비가 70%라 생각하면됨 제대로 하는 집은 손질이랑 숙성만 이삼일 걸린다 보면됨	0
대중따위가 니들이 머라고 재미없다고 난리쳐? 불통유재석 욕먹고 조작단거지개샘이랑 제작진뒷거래부정 고소해서 가목집어넣기 딱 좋구만 좀 더 비리로 연명하게놔둬 자료 수집중인데 방해하지마!	1
죽은 최진실도 거의 닮지도 않은애가단지 진실이딸인것 뿐인데~본인이 엄마처럼 대스타인양 관심 받고싶은건지.......정상 아닌듯너 오빠처럼 조용히 살지.......	1
40대스티븐레아 신비로운 딜 ...아껴아껴 보는 영화	0
구혜선본인이 당당하니까 저렇게 활동하지 안재현은 본인이 잘해서 조용히 있는게아니라 구린게 많으니까 소속사뒤에숨어서 드라마피해갈까봐 조용한거아님 무책임한사람이다	1
이모랑 조카느낌...개인적인 생각	1
도장런이 뭐냐	0
본인이 노력해서 예뻐지는데 무슨상관 욕하지 말고 격려해 줍시다	0
너무 안타깝네요....삼가 고인의 명복을 빕니다하늘나라에서 부모님과 아이를 잘 지켜주시길.....	0
16년 1월 임용자는 20년 2월 자동진급인데 보통 저때 임용자중에 자동까지 진급못하는 애들이 많지 않거든 쟤는 승진못하고 후배들이 먼저 경장 승진하는거보고 열받앗나본데 그게 죽을이유까지는 안됐을거고 의문이네	0
옛날에 원빈 닮은꼴로도 불렸엇던 기억이 있음.. 연기 굉장히 잘했는데 갑자기 사라져서 궁금했는데.. 듣던중 반가운 소식입니다.!	0
